Field=#~Integer~#~50|Field=Designator~String~Designator~125|Field=MountType~String~MountType~125|Field=PackageReference~String~PackageReference~125|Field=Center-X(Mil)~String~Center-X(Mil)~125|Field=Center-X(mm)~String~Center-X(mm)~125|Field=Center-Y(Mil)~String~Center-Y(Mil)~125|Field=Center-Y(mm)~String~Center-Y(mm)~125|Field=Layer~String~Layer~125|Field=Pad-X(Mil)~String~Pad-X(Mil)~125|Field=Pad-X(mm)~String~Pad-X(mm)~125|Field=Pad-Y(Mil)~String~Pad-Y(Mil)~125|Field=Pad-Y(mm)~String~Pad-Y(mm)~125|Field=Ref-X(Mil)~String~Ref-X(Mil)~125|Field=Ref-X(mm)~String~Ref-X(mm)~125|Field=Ref-Y(Mil)~String~Ref-Y(Mil)~125|Field=Ref-Y(mm)~String~Ref-Y(mm)~125|Field=Rotation~String~Rotation~125|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~MCU042A.PrjPcb|ReportField=ProjectFullPath~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU042\A\4 - Altium Design Files\MCU042A_DATABASE\MCU042A.PrjPcb|ReportField=Title~Pick and Place For Variant [001] of Project [MCU042A.PrjPcb] (PCB Document : MCU042A.PcbDoc)|ReportField=ReportTime~2:43:37 PM|ReportField=ReportDate~12/17/2018|ReportField=ReportDateTime~12/17/2018 2:43:37 PM|ReportField=OutputName~Pick and Place|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~001|ReportField=TotalQuantity~155|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=EVM_Orderable~BOOSTXL-CC3135|ReportField=CopyrightYear~2018|ReportField=PCB_Layout~Tessolve|ReportField=PCB_Rev~A|ReportField=PRJ_Customer~Public Release|ReportField=PRJ_Engineer~Vince Rodriguez|ReportField=PRJ_Number~MCU042|ReportField=PRJ_Title~BOOSTXL-CC3135|ReportField=SCH_Rev~A|ReportField=TechSupport~http://www.ti.com/support|ReportField=TID~N/A|ReportField=Address1~Not shown in title block|ReportField=Address2~Not shown in title block|ReportField=Address3~Not shown in title block|ReportField=Address4~Not shown in title block|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~Not shown in title block|ReportField=Author~Not shown in title block|ReportField=CheckedBy~Not shown in title block|ReportField=CompanyName~Not shown in title block|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~12/17/2018|ReportField=CurrentTime~2:41:23 PM|ReportField=Date~Not shown in title block|ReportField=DocumentFullPathAndName~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU042\A\4 - Altium Design Files\MCU042A_DATABASE\MCU042A.SchDoc|ReportField=DocumentName~MCU042A.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~Vince Rodriguez|ReportField=Engineer~Vince Rodriguez|ReportField=ImagePath~Not shown in title block|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~12/17/2018|ReportField=Organization~Not shown in title block|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=1.00:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=Letter:PrintScaleMode=1|ReportField=ProjectName~MCU042A.PrjPcb|ReportField=Revision~Use project parameter SCH_Rev|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~5|ReportField=Time~Not shown in title block|ReportField=Title~Cover Sheet|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~MCU042A.PrjPcb|ReportField=DataSourceFullPath~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU042\A\4 - Altium Design Files\MCU042A_DATABASE\MCU042A.PrjPcb|ReportField=PCBDataSourceFileName~MCU042A.PcbDoc|ReportField=PCBDataSourceFullPath~\\ent.ti.com\data\pmp_pcb\PMP_PCB\PMP EVM ARCHIVE\MCU_Numbers\MCU042\A\4 - Altium Design Files\MCU042A_DATABASE\MCU042A.PcbDoc|ReportField=PCBConfigurationName~Bare PCB|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
37|C42|SMT|0201|1197.208|30.40908|1238.275|31.45217|Top|1197.208|30.40908|1251.267|31.78217|1197.208|30.40908|1238.275|31.45217|270
38|C43|SMT|0402|1197.208|30.40908|1420.774|36.08766|Top|1197.208|30.40908|1400.774|35.57966|1197.208|30.40908|1420.774|36.08766|90
39|C44|SMT|0402|1175.554|29.85908|1890.775|48.02567|Top|1175.554|29.85908|1872.074|47.55068|1175.554|29.85908|1890.774|48.02567|90
40|C45|SMT|0201|1213.704|30.82807|1095.787|27.833|Top|1213.704|30.82807|1108.78|28.163|1213.704|30.82807|1095.787|27.833|270
41|C47|SMT|0201|1180.686|29.98943|1095.787|27.833|Top|1180.686|29.98943|1108.78|28.163|1180.686|29.98943|1095.787|27.833|270
42|C49|SMT|0201|1164.695|29.58325|1238.287|31.4525|Top|1164.695|29.58325|1225.295|31.1225|1164.695|29.58325|1238.287|31.4525|90
43|C50|SMT|0201|1229.695|31.23425|1238.287|31.4525|Top|1229.695|31.23425|1225.295|31.1225|1229.695|31.23425|1238.287|31.4525|90
44|D1|SMT|SOD-123|1776|45.1104|170|4.318|Top|1711.532|43.4729|170|4.318|1776|45.1104|170|4.318|0
45|D2|SMT|SOD-123|1776|45.1104|70|1.778|Top|1711.532|43.4729|70|1.778|1776|45.1104|70|1.778|0
46|D3|SMT|LED, 1.6x.8x.8mm|933|23.6982|138|3.5052|Top|933|23.6982|105.52|2.6802|933|23.6982|138|3.5052|90
47|D4|SMT|SOD-523F|1789.409|45.451|1897.403|48.19405|Top|1755.945|44.601|1897.403|48.19405|1789.409|45.451|1897.403|48.19405|0
48|D5|SMT|LED_0603|317.302|8.05948|155.696|3.95468|Top|285.806|7.25948|155.696|3.95468|317.302|8.05948|155.696|3.95468|0
49|D6|SMT|LED_0603|2048.025|52.01983|1881.339|47.78601|Top|2079.521|52.81983|1881.339|47.78601|2048.025|52.01984|1881.339|47.78601|180
50|D7|SMT|LED, 1.6x.8x.8mm|751.678|19.09262|2123.052|53.92552|Top|784.158|19.91762|2123.052|53.92552|751.678|19.09262|2123.052|53.92552|180
51|E1|SMT|8x3mm|1309.412|33.25907|2142.9|54.42967|Top|1175.554|29.85907|2103.53|53.42966|1309.412|33.25907|2142.9|54.42967|90
52|FL1|SMT|2x1.25mm|1019.708|25.90058|1310.479|33.28616|Top|1019.708|25.90058|1297.684|32.96116|1019.708|25.90058|1310.479|33.28616|180
53|FL2|SMT|1.6x0.8mm|1197.208|30.40908|1346.115|34.19132|Top|1197.208|30.40908|1323.477|33.61632|1197.208|30.40908|1346.115|34.19132|90
54|J2|TH|Header, 2.54mm, 3x1, TH|505.846|12.84849|1893.996|48.10751|Top|405.846|10.30849|1893.996|48.10751|505.846|12.84849|1893.996|48.10751|0
55|J3|TH|Header, 2.54mm, 3x1, TH|654.842|16.633|1610|40.894|Top|654.842|16.633|1710|43.434|654.842|16.633|1610|40.894|270
56|J4|TH|Header, 2.54mm, 3x1, TH|454.842|11.553|1610|40.894|Top|454.842|11.553|1710|43.434|454.842|11.553|1610|40.894|270
57|J5|TH|Header, 2.54mm, 3x1, TH|254.843|6.473|1610|40.894|Top|254.843|6.473|1710|43.434|254.843|6.473|1610|40.894|270
58|J6|SMT|Micro USB receptacle|2189.928|55.62417|206|5.2324|Top|2136.778|54.27417|154.819|3.9324|2189.928|55.62417|206|5.2324|90
59|J7|TH|3x1 Header|1096|27.8384|169|4.2926|Top|1096|27.8384|69|1.7526|1096|27.8384|169|4.2926|90
60|J8|TH|Header, 2.54mm, 2x1, TH|739|18.7706|118|2.9972|Top|739|18.7706|68|1.7272|739|18.7706|118|2.9972|90
61|J10|SMT|Ultra small CO-AX SMD|979.708|24.88457|1628.993|41.37642|Top|979.708|24.88457|1598.973|40.61392|979.708|24.88457|1659.013|42.13892|90
62|J11|SMT|Ultra small CO-AX SMD|1480.157|37.59599|1585.776|40.27871|Top|1450.137|36.83349|1585.776|40.27871|1510.177|38.35849|1585.776|40.27871|0
63|L1|SMT|2.0x1.6mm|849|21.56459|927.126|23.549|Top|849|21.56459|958.622|24.349|849|21.56459|927.126|23.549|270
64|L3|SMT|SMD, Body 2.5x2mm, Height 1.2mm|814|20.67559|824|20.92959|Top|774.63|19.67559|824|20.92959|814|20.67559|824|20.92959|0
65|L4|SMT|2.0x1.6mm|848.874|21.5614|614.998|15.62094|Top|817.378|20.7614|614.998|15.62094|848.874|21.5614|614.998|15.62094|0
66|L5|SMT|0805|1977|50.21579|95|2.413|Top|2017|51.23179|95|2.413|1977|50.2158|95|2.413|180
67|L6|SMT|0805|1977|50.21581|214|5.4356|Top|1937|49.19981|214|5.4356|1977|50.2158|214|5.4356|0
68|L11|SMT|0402 polarized|1195.554|30.36708|1955.774|49.67666|Top|1175.554|29.85908|1955.774|49.67666|1195.554|30.36708|1955.774|49.67666|0
69|L12|SMT|0402|1217.208|30.91707|1286.016|32.66481|Top|1237.208|31.42507|1286.016|32.66481|1217.208|30.91707|1286.016|32.66481|180
70|LBL1|N/A|PCB Label 0.650 x 0.200 inch|1611.8|40.93972|155|3.937|Bottom|1611.8|40.93972|155|3.937|1611.8|40.93972|155|3.937|0
71|P1|TH|10x2 Receptacle|2000|50.8|900|22.86|Top|2050|52.07|1350|34.29|2000|50.8|900|22.86|90
72|P2|TH|10x2 Receptacle|300|7.62|900|22.86|Top|350|8.89|1350|34.29|300|7.62|900|22.86|90
73|Q1|SMT|SOT-363|581.678|14.77462|2006.635|50.96852|Top|544.276|13.82462|2032.225|51.61852|581.678|14.77462|2006.635|50.96852|0
74|Q2|SMT|SSOT-3|611.678|15.53662|2123.052|53.92552|Top|568.371|14.43662|2160.454|54.87552|611.678|15.53662|2123.052|53.92552|270
75|Q3|SMT|SOT-23|397.533|10.09734|297.599|7.55901|Top|434.935|11.04734|344.843|8.75901|397.533|10.09734|297.599|7.55901|270
76|Q4|SMT|SOT-23|1877.598|47.691|1777.756|45.155|Top|1915|48.641|1825|46.355|1877.598|47.691|1777.756|45.155|270
77|R1|SMT|0603|950.427|24.14085|416.591|10.58141|Top|981.923|24.94085|416.591|10.58141|950.427|24.14085|416.591|10.58141|180
78|R3|SMT|0402|1751.706|44.49333|729.568|18.53103|Top|1775.328|45.09333|729.568|18.53103|1751.706|44.49333|729.568|18.53103|180
79|R4|SMT|0603|1854|47.0916|868|22.0472|Top|1854|47.0916|899.496|22.8472|1854|47.0916|868|22.0472|270
80|R5|SMT|0402|1798|45.6692|1070|27.178|Top|1821.622|46.2692|1070|27.178|1798|45.6692|1070|27.178|180
81|R8|SMT|0402|1389.997|35.30593|450|11.43|Top|1413.619|35.90593|450|11.43|1389.997|35.30593|450|11.43|180
82|R9|SMT|0402|1355.703|34.43486|529.345|13.44536|Top|1379.325|35.03487|529.345|13.44536|1355.703|34.43487|529.345|13.44536|180
83|R10|SMT|0603|1224.658|31.1063|543.216|13.79769|Top|1224.658|31.1063|574.712|14.59769|1224.658|31.1063|543.216|13.79769|270
84|R12|SMT|0402|1683|42.7482|546|13.8684|Top|1706.622|43.3482|546|13.8684|1683|42.7482|546|13.8684|180
85|R13|SMT|0402|585|14.859|1185|30.099|Top|561.378|14.259|1185|30.099|585|14.859|1185|30.099|0
86|R15|SMT|0402|1595|40.513|720|18.288|Top|1571.378|39.913|720|18.288|1595|40.513|720|18.288|0
87|R16|SMT|0402|1650|41.91|1170|29.718|Top|1650|41.91|1146.378|29.118|1650|41.91|1170|29.718|90
88|R17|SMT|0402|1332.868|33.85483|1242.598|31.56199|Top|1332.868|33.85483|1266.22|32.16199|1332.868|33.85483|1242.598|31.56199|270
89|R18|SMT|0402|1153.502|29.29896|400.4|10.17016|Top|1153.502|29.29896|376.778|9.57016|1153.502|29.29896|400.4|10.17016|90
90|R21|SMT|0402|631.22|16.033|1801.378|45.755|Top|607.598|15.433|1801.378|45.755|631.22|16.033|1801.378|45.755|0
91|R22|SMT|0402|478.464|12.153|1801.378|45.755|Top|502.087|12.753|1801.378|45.755|478.465|12.153|1801.378|45.755|180
92|R23|SMT|0402|278.464|7.073|1801.378|45.755|Top|302.087|7.673|1801.378|45.755|278.465|7.073|1801.378|45.755|180
93|R24|SMT|0402|745|18.923|1486.378|37.754|Top|745|18.923|1510|38.354|745|18.923|1486.378|37.754|270
94|R25|SMT|0402|545|13.843|1486.378|37.754|Top|545|13.843|1510|38.354|545|13.843|1486.378|37.754|270
95|R26|SMT|0402|345|8.763|1486.378|37.754|Top|345|8.763|1510|38.354|345|8.763|1486.378|37.754|270
96|R27|SMT|0402|960.61|24.3995|1155.749|29.35603|Top|936.988|23.7995|1155.749|29.35603|960.61|24.3995|1155.749|29.35603|0
97|R28|SMT|0402|1797.393|45.65378|1428.882|36.29361|Top|1773.771|45.05378|1428.882|36.29361|1797.393|45.65378|1428.882|36.29361|0
98|R29|SMT|0402|1797.393|45.65378|1330.463|33.79376|Top|1773.771|45.05378|1330.463|33.79376|1797.393|45.65378|1330.463|33.79376|0
99|R30|SMT|0402|1797.393|45.65378|1478.092|37.54353|Top|1773.771|45.05378|1478.092|37.54353|1797.393|45.65378|1478.092|37.54353|0
100|R31|SMT|0402|1797.393|45.65378|1379.673|35.04368|Top|1773.771|45.05378|1379.673|35.04368|1797.393|45.65378|1379.673|35.04368|0
101|R32|SMT|0603|511.035|12.98029|741.216|18.82689|Top|542.531|13.78029|741.216|18.82689|511.035|12.98029|741.216|18.82689|180
102|R33|SMT|0402|1798|45.6692|1280|32.51199|Top|1821.622|46.2692|1280|32.51199|1798|45.6692|1280|32.51199|180
103|R34|SMT|0402|1798|45.6692|1210|30.73399|Top|1821.622|46.2692|1210|30.73399|1798|45.6692|1210|30.73399|180
104|R35|SMT|0402|486|12.3444|898|22.8092|Top|509.622|12.9444|898|22.8092|486|12.3444|898|22.8092|180
105|R36|SMT|0402|144.378|3.6672|1179.526|29.95996|Top|168|4.2672|1179.526|29.95996|144.378|3.6672|1179.526|29.95996|180
106|R37|SMT|0402|1798|45.6692|1140|28.956|Top|1774.378|45.0692|1140|28.956|1798|45.6692|1140|28.956|0
